date,air_pressure,water_vapor_pressure,relative_air_humidity,specific_air_humidity,average_cloud_cover,temperature,wind_speed,downfall,cloudy_weather
datetime64[ns],object,float64,float64,float64,float64,float64,float64,float64,float64
2002-10-10 00:00:00,1014,4.4,62.0,,,3.5,4.1,0.0,
2002-10-11 00:00:00,1016.4,4.5,60.0,,,3.4,4.1,0.0,
2002-10-12 00:00:00,1014.9,4.7,57.0,,,3.5,7.2,0.0,
2002-10-13 00:00:00,1015.5,4.1,57.0,,,3.3,5.1,0.0,
2002-10-14 00:00:00,1011.3,4.4,52.0,,,4.4,5.1,0.0,
2002-10-15 00:00:00,1003.6,4.3,61.0,,,1.9,3.1,0.0,
2002-10-16 00:00:00,993.6,5.9,88.0,,,-1.1,3.1,0.0,
2002-10-17 00:00:00,989.7,5.4,87.0,,,-0.5,3.6,2.2,
2002-10-18 00:00:00,992.6,3.1,71.0,,,-2.6,4.6,3.2,
2002-10-19 00:00:00,988.1,5.2,74.0,,,-1.7,5.1,0.0,
2002-10-20 00:00:00,990.5,5.8,83.0,,,-0.3,4.6,0.4,
2002-10-21 00:00:00,991.3,3.9,76.0,,,-0.4,5.1,3.4,
2002-10-22 00:00:00,987.7,3.7,66.0,,,-0.7,4.1,0.0,
2002-10-23 00:00:00,971.4,4.6,57.0,,,3.2,7.2,0.2,
2002-10-24 00:00:00,967.3,3.6,57.0,,,5.1,7.2,0.8,
2002-10-25 00:00:00,970.1,5.4,57.0,,,4.1,7.2,2.1,
2002-10-26 00:00:00,963.3,6.1,69.0,,,6.1,5.1,0.6,
2002-10-27 00:00:00,973.1,6.2,76.0,,,3.1,7.2,0.3,
2002-10-28 00:00:00,985.1,5.7,81.0,,,2.5,5.7,0.2,
2002-10-29 00:00:00,990.8,6.3,79.0,,,2.7,6.7,3.4,
2002-10-30 00:00:00,995,4.6,79.0,,,1.7,4.1,2.4,
2002-10-31 00:00:00,984.6,6.6,66.0,,,3.0,5.7,0.0,
2002-11-01 00:00:00,1000.5,5.9,87.0,,,1.3,4.6,6.8,
2002-11-02 00:00:00,1007.1,4.2,86.0,,,-2.8,2.6,0.0,
2002-11-03 00:00:00,1000.7,3.2,55.0,,,-1.3,3.1,0.0,
2002-11-04 00:00:00,1003.6,3.2,60.0,,,-3.5,3.6,0.0,
2002-11-05 00:00:00,1001.8,4.7,83.0,,,-3.9,3.1,0.0,
2002-11-06 00:00:00,986.8,5.8,79.0,,,3.5,7.2,2.0,
2002-11-07 00:00:00,988.3,6.1,88.0,,,2.0,4.1,5.0,
2002-11-08 00:00:00,989.1,4.3,84.0,,,0.0,3.1,0.0,
2002-11-09 00:00:00,994.3,3.2,70.0,,,-2.4,5.7,0.0,
2002-11-10 00:00:00,996.2,2.5,60.0,,,-4.8,3.1,0.0,
2002-11-11 00:00:00,991,2.2,57.0,,,-6.1,2.6,0.0,
2002-11-12 00:00:00,986.8,2.8,58.0,,,-5.4,3.6,0.0,
2002-11-13 00:00:00,981.1,2.9,61.0,,,-4.5,4.1,0.0,
2002-11-14 00:00:00,982.7,3.6,64.0,,,-2.8,4.1,0.0,
2002-11-15 00:00:00,981.8,4.2,63.0,,,1.0,4.6,0.0,
2002-11-16 00:00:00,988.7,5.4,85.0,,,0.1,2.1,0.0,
2002-11-17 00:00:00,989.2,5.5,95.0,,,-0.5,1.5,2.0,
2002-11-18 00:00:00,996.7,5.7,91.0,,,-0.1,3.1,3.8,
2002-11-19 00:00:00,1007.7,3.6,87.0,,,-4.0,3.1,0.0,
2002-11-20 00:00:00,1005.8,3.2,88.0,,,-7.9,2.6,0.0,
2002-11-21 00:00:00,1002.4,2.7,73.0,,,-5.7,3.6,0.0,
2002-11-22 00:00:00,999.2,3.5,65.0,,,-2.6,5.1,0.0,
2002-11-23 00:00:00,1000,3.5,59.0,,,-1.1,6.7,0.0,
