Navn,Stasjon,Tid(norsk normaltid),Middeltemperatur (dogn),Kraftigste middelvind (dogn),Nedbor (dogn),Overskya vaer (dogn)
Trondheim - Voll,SN68860,25.06.2011,10.4,4.2,1.8,0
Trondheim - Voll,SN68860,26.06.2011,13.1,3.7,0.1,0
Trondheim - Voll,SN68860,27.06.2011,15.6,4.5,0,1
Trondheim - Voll,SN68860,28.06.2011,17.4,5.3,0.8,1
Trondheim - Voll,SN68860,29.06.2011,18,5.9,2.1,1
Trondheim - Voll,SN68860,30.06.2011,12.1,4.1,5,1
Trondheim - Voll,SN68860,01.07.2011,10.8,2.8,1.7,1
Trondheim - Voll,SN68860,02.07.2011,13,3.2,1,1
Trondheim - Voll,SN68860,03.07.2011,15.2,3.7,0,1
Trondheim - Voll,SN68860,04.07.2011,13.9,2.7,19.4,1
Trondheim - Voll,SN68860,05.07.2011,15.5,2.9,1.6,1
Trondheim - Voll,SN68860,06.07.2011,16.8,2.5,0,0
Trondheim - Voll,SN68860,07.07.2011,19.1,5.9,0.3,0
Trondheim - Voll,SN68860,08.07.2011,15.6,3.3,0.8,1
Trondheim - Voll,SN68860,09.07.2011,16.6,4.3,6.1,0
Trondheim - Voll,SN68860,10.07.2011,16.3,5.1,0.8,0
Trondheim - Voll,SN68860,11.07.2011,14.6,3.6,1.5,0
Trondheim - Voll,SN68860,12.07.2011,10.7,5.2,1,1
Trondheim - Voll,SN68860,13.07.2011,10.6,4.3,0.5,0
Trondheim - Voll,SN68860,14.07.2011,12.9,3,0.5,0
Trondheim - Voll,SN68860,15.07.2011,14.6,4.6,0,0
Trondheim - Voll,SN68860,16.07.2011,15.1,4.3,0,0
Trondheim - Voll,SN68860,17.07.2011,18.7,5.8,0.1,0
Trondheim - Voll,SN68860,18.07.2011,17.7,6.8,0.3,1
Trondheim - Voll,SN68860,19.07.2011,17.9,5.6,0.2,0
Trondheim - Voll,SN68860,20.07.2011,14.8,3.8,0,0
Trondheim - Voll,SN68860,21.07.2011,13.3,3.8,2.9,0
Trondheim - Voll,SN68860,22.07.2011,11.5,4.3,0.4,1
Trondheim - Voll,SN68860,23.07.2011,12.3,2.6,18,1
Trondheim - Voll,SN68860,24.07.2011,18.3,4.1,0.8,0
Trondheim - Voll,SN68860,25.07.2011,15.9,4.8,0,1
Trondheim - Voll,SN68860,26.07.2011,13.8,3.7,8.8,1
Trondheim - Voll,SN68860,27.07.2011,14.7,3.1,0.8,0
Trondheim - Voll,SN68860,28.07.2011,14.9,4,0,0
Trondheim - Voll,SN68860,29.07.2011,12.5,3.3,0.2,1
Trondheim - Voll,SN68860,30.07.2011,14.2,2.9,0.7,0
Trondheim - Voll,SN68860,31.07.2011,15.7,3.1,0.2,0
Trondheim - Voll,SN68860,01.08.2011,14.8,3.3,0,0
Trondheim - Voll,SN68860,02.08.2011,16.4,3,0,0
Trondheim - Voll,SN68860,03.08.2011,19.1,2.7,0,0
Trondheim - Voll,SN68860,04.08.2011,18.6,2.5,0,1
Trondheim - Voll,SN68860,05.08.2011,18.5,4.4,0.4,1
Trondheim - Voll,SN68860,06.08.2011,15.7,4.7,0.1,1
Trondheim - Voll,SN68860,07.08.2011,16.1,4.4,0.5,1
Trondheim - Voll,SN68860,08.08.2011,13.8,5,7.2,1
Trondheim - Voll,SN68860,09.08.2011,11.4,5.5,13.8,1
Trondheim - Voll,SN68860,10.08.2011,10.1,5.6,13.2,1
Trondheim - Voll,SN68860,11.08.2011,10.4,4.2,2.6,0
Trondheim - Voll,SN68860,12.08.2011,10.8,3.1,0,0
Trondheim - Voll,SN68860,13.08.2011,14.4,4.3,0,0
Trondheim - Voll,SN68860,14.08.2011,18.7,7.4,0,0
Trondheim - Voll,SN68860,15.08.2011,16.5,4.7,0,1
Trondheim - Voll,SN68860,16.08.2011,11.6,4.5,28.7,1
Trondheim - Voll,SN68860,17.08.2011,11,3.1,6.7,1
Trondheim - Voll,SN68860,18.08.2011,11.3,2.9,13.1,1
Trondheim - Voll,SN68860,19.08.2011,12.3,4.3,0,0
Trondheim - Voll,SN68860,20.08.2011,12.3,2.3,0.3,1
Trondheim - Voll,SN68860,21.08.2011,13.9,6.8,6.8,0
Trondheim - Voll,SN68860,22.08.2011,13.6,-,0.3,0
Trondheim - Voll,SN68860,23.08.2011,12.9,2.8,0,0
Trondheim - Voll,SN68860,24.08.2011,16.1,7.2,0.1,0
Trondheim - Voll,SN68860,25.08.2011,18,6,0,0
Trondheim - Voll,SN68860,26.08.2011,17.8,4.1,0,0
Trondheim - Voll,SN68860,27.08.2011,18.1,3.2,5,1
Trondheim - Voll,SN68860,28.08.2011,14.6,5.8,3.8,1
Trondheim - Voll,SN68860,29.08.2011,14.3,4,11.1,0
Trondheim - Voll,SN68860,30.08.2011,12.7,3.8,1.6,1
Trondheim - Voll,SN68860,31.08.2011,12.1,3.7,0.1,0
Trondheim - Voll,SN68860,01.09.2011,12.4,3.2,1,0
Trondheim - Voll,SN68860,02.09.2011,13.1,4.7,0,0
Trondheim - Voll,SN68860,03.09.2011,14.5,6.2,0,0
Trondheim - Voll,SN68860,04.09.2011,16.8,7.2,2.3,1
Trondheim - Voll,SN68860,05.09.2011,15.5,5,0.1,0
Trondheim - Voll,SN68860,06.09.2011,14.7,5.8,1.8,1
Trondheim - Voll,SN68860,07.09.2011,14.1,8.2,5.6,1
Trondheim - Voll,SN68860,08.09.2011,11.2,4.6,12.7,0
Trondheim - Voll,SN68860,09.09.2011,10.7,3.6,0,0
Trondheim - Voll,SN68860,10.09.2011,9.5,3,0.1,0
Trondheim - Voll,SN68860,11.09.2011,14.1,5.8,0,0
Trondheim - Voll,SN68860,12.09.2011,14.3,4.3,38,0
Trondheim - Voll,SN68860,13.09.2011,12.3,3.4,0.7,1
Trondheim - Voll,SN68860,14.09.2011,10.6,6.5,14.9,1
Trondheim - Voll,SN68860,15.09.2011,8.5,6.2,5.7,1
Trondheim - Voll,SN68860,16.09.2011,8.4,4.7,6.9,1
Trondheim - Voll,SN68860,17.09.2011,8.1,5.8,0.1,0
Trondheim - Voll,SN68860,18.09.2011,11.2,4.5,0.1,0
Trondheim - Voll,SN68860,19.09.2011,10.4,4.2,0,1
Trondheim - Voll,SN68860,20.09.2011,11.3,5.2,0,1
Trondheim - Voll,SN68860,21.09.2011,9.5,3.1,3,0
Trondheim - Voll,SN68860,22.09.2011,10.1,5.5,0,1
Trondheim - Voll,SN68860,23.09.2011,8.5,6.9,1.3,1
Trondheim - Voll,SN68860,24.09.2011,10,4.4,2.6,0
Trondheim - Voll,SN68860,25.09.2011,10.3,3.4,0.1,0
Trondheim - Voll,SN68860,26.09.2011,10.7,7.2,0.3,1
Trondheim - Voll,SN68860,27.09.2011,9,7.2,16.3,1
Trondheim - Voll,SN68860,28.09.2011,11.4,7.6,2.9,1
Trondheim - Voll,SN68860,29.09.2011,16.1,4.2,8.7,0
Trondheim - Voll,SN68860,30.09.2011,14.1,2.8,0,1
Trondheim - Voll,SN68860,01.10.2011,14.2,2.5,0.6,1
Trondheim - Voll,SN68860,02.10.2011,10.4,5.3,4.5,0
Trondheim - Voll,SN68860,03.10.2011,8.8,2.9,0,0
Trondheim - Voll,SN68860,04.10.2011,9.5,6.9,4.5,1
Trondheim - Voll,SN68860,05.10.2011,8.5,9.1,5,1
Trondheim - Voll,SN68860,06.10.2011,7.5,5,5.6,0
Trondheim - Voll,SN68860,07.10.2011,6.4,5.9,4.9,1
Trondheim - Voll,SN68860,08.10.2011,4.4,6.6,14.3,1
Trondheim - Voll,SN68860,09.10.2011,4.1,6.9,2.5,1
Trondheim - Voll,SN68860,10.10.2011,6,4.8,11.2,1
Trondheim - Voll,SN68860,11.10.2011,3.7,6.1,2.2,0
Trondheim - Voll,SN68860,12.10.2011,5.6,5.1,5.1,1
Trondheim - Voll,SN68860,13.10.2011,3.7,4.2,4.3,0
Trondheim - Voll,SN68860,14.10.2011,2.6,2.7,0.5,0
Trondheim - Voll,SN68860,15.10.2011,5.2,2.7,0,0
Trondheim - Voll,SN68860,16.10.2011,7.4,2.7,0.3,0
Trondheim - Voll,SN68860,17.10.2011,8.1,6,0,0
Trondheim - Voll,SN68860,18.10.2011,9.6,8.9,0,0
Trondheim - Voll,SN68860,19.10.2011,4.5,7.8,2.6,1
Trondheim - Voll,SN68860,20.10.2011,3.2,8.7,13.1,1
Trondheim - Voll,SN68860,21.10.2011,4.2,5,4.1,1
Trondheim - Voll,SN68860,22.10.2011,8.7,8.1,2.4,0
Trondheim - Voll,SN68860,23.10.2011,10.6,6.5,0.2,0
Trondheim - Voll,SN68860,24.10.2011,8.7,5.5,0,0
Trondheim - Voll,SN68860,25.10.2011,9.2,6.4,0.2,0
Trondheim - Voll,SN68860,26.10.2011,7.3,6.6,0,0
Trondheim - Voll,SN68860,27.10.2011,9.6,6.7,0.9,0
Trondheim - Voll,SN68860,28.10.2011,9,9,0,0
Trondheim - Voll,SN68860,29.10.2011,6.8,6,1,1
Trondheim - Voll,SN68860,30.10.2011,8.1,6,2,1
Trondheim - Voll,SN68860,31.10.2011,6.6,4.5,2.9,0
Trondheim - Voll,SN68860,01.11.2011,11.1,6.3,3.1,0
Trondheim - Voll,SN68860,02.11.2011,6.2,8,1,0
Trondheim - Voll,SN68860,03.11.2011,5.7,3.1,0.1,0
